,precision,recall,f1-score,support
-1,0.8157894736842105,1.0,0.8985507246376812,31.0
0,1.0,0.05,0.09523809523809523,20.0
1,0.6470588235294118,1.0,0.7857142857142857,22.0
accuracy,0.7397260273972602,0.7397260273972602,0.7397260273972602,0.7397260273972602
macro avg,0.8209494324045408,0.6833333333333332,0.593167701863354,73.0
weighted avg,0.8154077781076382,0.7397260273972602,0.6444595706060864,73.0
