,precision,recall,f1-score,support
0,0.8857142857142857,1.0,0.9393939393939394,31.0
1,0.8125,0.65,0.7222222222222222,20.0
2,0.8636363636363636,0.8636363636363636,0.8636363636363636,22.0
accuracy,0.863013698630137,0.863013698630137,0.863013698630137,0.863013698630137
macro avg,0.8539502164502165,0.8378787878787879,0.8417508417508418,73.0
weighted avg,0.8590019569471624,0.863013698630137,0.8570637885706379,73.0
