,precision,recall,f1-score,support
-1,0.8857142857142857,1.0,0.9393939393939394,31.0
0,0.875,0.7,0.7777777777777778,20.0
1,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0
accuracy,0.8904109589041096,0.8904109589041096,0.8904109589041096,0.8904109589041096
macro avg,0.8899350649350649,0.8696969696969696,0.8754208754208754,73.0
weighted avg,0.8898238747553816,0.8904109589041096,0.8859831188598313,73.0
