,precision,recall,f1-score,support
0,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0
1,0.8095238095238095,0.6071428571428571,0.6938775510204082,28.0
2,0.6551724137931034,0.9047619047619048,0.76,21.0
accuracy,0.7945205479452054,0.7945205479452054,0.7945205479452054,0.7945205479452054
macro avg,0.807072654149116,0.8095238095238094,0.7966825879287885,73.0
weighted avg,0.81344943966373,0.7945205479452054,0.7925569388349918,73.0
